,adresse.adresse_nom_voie,adresse.adresse_numero,adresse.adresse_suffixe,adresse.code_commune,adresse.code_postal,adresse.nom_commune,is_land_surface_recalculated,is_sale_price_recalculated,location.coordinates,mutation.date_mutation,nombre_pieces_principales,prix_surface,surface.surface_reelle_bati,surface.surface_terrain,type.code_type_local,valeur_fonciere
95,RUE DE LA TOUR,70,,75116,75016,Paris 16e Arrondissement,False,True,"[2.280663, 48.860789]",2016-05-24T12:00:00Z,11,13625,200,0,1,2725000
96,RUE DU PORT,13,,93001,93300,Aubervilliers,False,False,"[2.374073, 48.915792]",2016-05-20T12:00:00Z,3,1571,84,87,1,132000
97,RUE DU PORT,19,,93001,93300,Aubervilliers,False,False,"[2.374024, 48.916054]",2016-05-03T12:00:00Z,4,2012,82,56,1,165000
98,AV DE L'EUROPE,16,,92009,92270,Bois-Colombes,False,True,"[2.263469, 48.907268]",2016-04-28T12:00:00Z,3,23758,66,198,1,1568025
99,CITE JOUFFROY RENAULT,64,,92024,92110,Clichy,False,False,"[2.305117, 48.898125]",2016-04-18T12:00:00Z,6,7127,90,58,1,641400
100,RUE ANDRE COIN,25,,92046,92240,Malakoff,False,False,"[2.300554, 48.820366]",2016-03-25T12:00:00Z,3,3208,60,137,1,192500
101,IMP BOIELDIEU,22,,94081,94400,Vitry-sur-Seine,False,False,"[2.373564, 48.799804]",2016-03-15T12:00:00Z,3,6219,54,187,1,335820
102,RUE PARMENTIER,25,,92026,92400,Courbevoie,False,False,"[2.260479, 48.898655]",2016-03-11T12:00:00Z,3,7397,73,70,1,540000
103,CITE JOUFFROY RENAULT,44,,92024,92110,Clichy,False,False,"[2.305605, 48.897681]",2016-01-18T12:00:00Z,3,6444,90,55,1,579915
104,RUE BOIELDIEU,49,,94081,94400,Vitry-sur-Seine,False,False,"[2.374069, 48.801539]",2015-12-17T12:00:00Z,2,5111,45,59,1,230000
105,RUE FRITSCH,20,,94076,94800,Villejuif,False,False,"[2.353286, 48.801683]",2015-11-17T12:00:00Z,3,5789,57,183,1,330000
106,VLA DE LA REPUBLIQUE,11,,92049,92120,Montrouge,False,False,"[2.315551, 48.810479]",2015-10-28T12:00:00Z,4,6752,123,49,1,830500
107,RUE DE LA VALLEE DU BOIS,19,,92023,92140,Clamart,True,True,"[2.254551, 48.807767]",2015-10-20T12:00:00Z,3,3256,50,78,1,162791
108,RUE ARAGO,50,,92020,92320,Châtillon,False,False,"[2.277836, 48.804473]",2015-10-01T12:00:00Z,5,4915,59,257,1,290000
109,VLA EMILE MEYER,24,,75116,75016,Paris 16e Arrondissement,False,False,"[2.260692, 48.840505]",2015-09-25T12:00:00Z,3,20980,51,61,1,1070000
110,RUE DU TRANSVAAL,27,,92035,92250,La Garenne-Colombes,False,False,"[2.254814, 48.913398]",2015-09-24T12:00:00Z,5,5392,102,105,1,550000
111,AV PAUL VAILLANT COUTURIER,71,,94081,94400,Vitry-sur-Seine,False,False,"[2.399134, 48.796944]",2015-09-18T12:00:00Z,5,3925,93,0,1,365000
112,RUE SYLVINE CANDAS,8,B,92049,92120,Montrouge,False,False,"[2.317393, 48.817731]",2015-09-14T12:00:00Z,2,8622,58,0,1,500050
113,AV JEAN JAURES,191,B,92023,92140,Clamart,False,False,"[2.269529, 48.810713]",2015-08-11T12:00:00Z,5,6319,144,0,1,910000
114,RUE JEAN MERMOZ,9,,92025,92700,Colombes,False,False,"[2.257284, 48.917598]",2015-07-24T12:00:00Z,5,7573,110,252,1,833000
115,AV GABRIEL PERI,109,,92036,92230,Gennevilliers,False,False,"[2.294933, 48.920486]",2015-07-17T12:00:00Z,4,3875,80,172,1,310000
116,RUE DE PARIS,19,,92024,92110,Clichy,False,False,"[2.306877, 48.897346]",2015-06-05T12:00:00Z,5,5868,76,0,1,446000
117,RUE SOLFERINO,8,,92075,92170,Vanves,False,False,"[2.288889, 48.822993]",2015-05-21T12:00:00Z,4,8029,104,0,1,835000
118,AV CLERT ET ROBERT,7,,92025,92700,Colombes,False,False,"[2.259284, 48.915226]",2015-05-18T12:00:00Z,5,9900,100,251,1,990000
119,RUE TUNIS,28,,93066,93200,Saint-Denis,False,False,"[2.344944, 48.914594]",2015-05-12T12:00:00Z,2,6042,24,0,1,145000
120,SEN DES FOSSES ROUGES,14,,92046,92240,Malakoff,False,False,"[2.296541, 48.816604]",2015-04-02T12:00:00Z,3,6672,72,91,1,480350
121,VLA JACQUES PREVERT,8,,94076,94800,Villejuif,False,False,"[2.3516, 48.798615]",2015-02-23T12:00:00Z,5,4410,98,0,1,432200
122,BD STALINGRAD,49,,92046,92240,Malakoff,False,False,"[2.281081, 48.814377]",2014-12-15T12:00:00Z,1,8900,50,403,1,445000
123,AV P V COUTURIER,30,,93027,93120,La Courneuve,False,False,"[2.409616, 48.919184]",2014-12-12T12:00:00Z,4,2941,68,47,1,200000
124,RUE DU DOCTEUR POIRE,26,,93066,93200,Saint-Denis,False,False,"[2.344924, 48.922271]",2014-12-09T12:00:00Z,6,3580,88,81,1,315000
125,RUE DES TRICOTS,42,,92023,92140,Clamart,False,False,"[2.267588, 48.811735]",2014-12-05T12:00:00Z,3,6743,74,180,1,499000
126,RUE DU PARC DE MONTSOURIS,17,,75114,75014,Paris 14e Arrondissement,False,False,"[2.33396, 48.822719]",2014-11-28T12:00:00Z,9,10207,217,364,1,2215000
127,RUE BONNELAIS,43,,92023,92140,Clamart,False,False,"[2.272554, 48.799699]",2014-11-05T12:00:00Z,3,5325,40,68,1,213000
128,RUE ROBERT PLANQUETTE,11,,75118,75018,Paris 18e Arrondissement,False,False,"[2.335506, 48.884146]",2014-10-31T12:00:00Z,6,2429,247,0,1,600000
129,RUE STEFFEN,26,,92004,92600,Asnières-sur-Seine,False,False,"[2.280023, 48.90589]",2014-10-16T12:00:00Z,9,7333,225,305,1,1650000
130,RUE DU MOULIN DE PIERRE,84,B,92023,92140,Clamart,False,False,"[2.267096, 48.809686]",2014-10-10T12:00:00Z,3,4035,57,0,1,230000
131,RUE DE LA ROUE,5,,92023,92140,Clamart,False,False,"[2.253616, 48.807898]",2014-08-06T12:00:00Z,3,6793,92,148,1,625000
132,ALL DES GROSEILLIERS,13,,92023,92140,Clamart,False,False,"[2.27584, 48.805985]",2014-08-05T12:00:00Z,6,6000,105,139,1,630000
133,VC HAM DU DANUBE,6,,75119,75019,Paris 19e Arrondissement,False,True,"[2.392625, 48.881281]",2014-08-04T12:00:00Z,5,9773,106,139,1,1035909
134,IMP MARCEL,9,,92020,92320,Châtillon,False,False,"[2.286636, 48.803948]",2014-07-08T12:00:00Z,4,7093,86,158,1,610000
135,BD MORTIER,41,,75120,75020,Paris 20e Arrondissement,False,False,"[2.408485, 48.866797]",2014-07-01T12:00:00Z,5,5467,150,187,1,820000
136,RUE MAURICE HENRI GUILBERT,38,,94003,94110,Arcueil,False,False,"[2.34684, 48.801039]",2014-06-26T12:00:00Z,5,4211,109,303,1,459000
137,RUE DE LA PAIX,32,,92009,92270,Bois-Colombes,True,True,"[2.273493, 48.916025]",2014-06-13T12:00:00Z,7,4923,170,233,1,836923
138,RUE VICTOR HUGO,117,,92009,92270,Bois-Colombes,False,False,"[2.268417, 48.918538]",2014-04-23T12:00:00Z,4,5667,105,263,1,595000
139,RUE JULES FERRY,88,,94041,94200,Ivry-sur-Seine,False,False,"[2.37303, 48.815105]",2014-04-18T12:00:00Z,4,3579,95,178,1,340000
140,IMP DES ESSELIERES,8,,94076,94800,Villejuif,False,False,"[2.352973, 48.801576]",2014-03-28T12:00:00Z,2,3935,46,136,1,181000
141,RUE JULES LAGAISSE,84,,94081,94400,Vitry-sur-Seine,False,False,"[2.379527, 48.798264]",2014-03-14T12:00:00Z,5,4390,100,0,1,439040
142,RUE GEORGES CLEMENCEAU,31,,92075,92170,Vanves,False,False,"[2.286375, 48.816226]",2014-03-07T12:00:00Z,5,4903,93,264,1,456000
143,RUE LUCIEN ET EDOUARD GERBER,2,,92046,92240,Malakoff,False,False,"[2.310966, 48.821471]",2014-02-28T12:00:00Z,5,5318,129,178,1,686000
144,RUE PIERRE BROSSOLETTE,93,,92023,92140,Clamart,False,False,"[2.261465, 48.809098]",2014-02-21T12:00:00Z,4,6205,78,170,1,484000
145,RUE DES LILAS,4,,92025,92700,Colombes,False,False,"[2.261484, 48.916504]",2014-02-19T12:00:00Z,6,7410,145,442,1,1074500
146,RUE RAYMOND LEFEBVRE,13,,94037,94250,Gentilly,False,False,"[2.345183, 48.814502]",2014-02-17T12:00:00Z,6,5781,96,230,1,555000
147,RUE ROBERT SCHUMANN,21,,94043,94270,Le Kremlin-Bicêtre,False,False,"[2.347535, 48.806218]",2014-02-07T12:00:00Z,3,1502,45,0,1,67600
148,AV GAMBETTA,18,B,92009,92270,Bois-Colombes,False,False,"[2.263649, 48.917702]",2014-01-31T12:00:00Z,6,5763,177,238,1,1020000
149,RUE DU PRE SAINT GERVAIS,6,,93055,93500,Pantin,False,False,"[2.402367, 48.890757]",2014-01-20T12:00:00Z,4,5041,84,0,1,423411
